kata,kategori,pengucapan,penjelasan,arti
lime,"buah, noun",ˈlīm,Pulut,jeruk nipis
mandarin orange,"buah, noun",mandarin orange,Mandarin,jeruk mandarin
gooseberry,"buah, noun",ˈgüs-ˌber-ē,"Asam biasanya buah berduri dari salah satu dari beberapa semak (genus ribes, terutama r. hirtellum dari as dan r. uva-crispa eropa) dikelompokkan terutama sebelumnya dalam keluarga saxifrage tetapi sekarang sering ditempatkan dalam keluarga yang terpisah (grossulariaceae, gooseberry the gooseberikeluarga)",gooseberry
pear,"buah, noun",ˈper,"Buah pome dari pohon (genus pyrus, terutama p. communis) dari keluarga mawar yang biasanya memiliki kulit hijau pucat atau kecoklatan, daging yang kuat, dan bentuk lonjong di mana ujung dasar yang luas meluncur ke atas ke batang sempit yang sempitakhir",pir
rambutan,"buah, noun",ram-ˈbü-tᵊn,Buah malaya berduri merah cerah terkait erat dengan leci;juga: pohon (nephelium lappaceum) dari keluarga soapberry yang menghasilkan buah ini,rambutan
figs,"buah, noun",ˈfig,Buah syconium berbentuk lonjong atau pir dari pohon (genus ficus) dari keluarga mulberry,ara
blueberry,"buah, noun",ˈblü-ˌber-ē,Berry biru atau kehitaman yang dapat dimakan dari beberapa tanaman amerika utara (genus vaccinium) dari keluarga heath;juga: semak rendah atau tinggi menghasilkan buah beri ini,blueberry
raspberry,"buah, noun",ˈraz-ˌber-ē,Setiap dari berbagai buah beri yang dimakan hitam atau merah yang merupakan buah agregat yang terdiri dari banyak drupes kecil pada wadah berdaging dan yang biasanya lebih bulat dan lebih kecil dari blackberry yang terkait erat,frambos
cashew,"buah, noun",ˈka-(ˌ)shü,"Sebuah pohon amerika tropis (anacardium occidentale dari keluarga anacardiaceae, keluarga mete) tumbuh untuk minyak fenolik dan kernel yang dapat dimakan kacang dan untuk permen karet dari batangnya;juga: kacang mete",mete
sago,"buah, noun",ˈsā-(ˌ)gō,Pati berbutir kering atau bubuk yang disiapkan dari empulur telapak tangan dan digunakan dalam makanan dan sebagai pengaku tekstil,sagu
tangerine,"buah, noun",ˈtan-jə-ˌrēn,Salah satu dari berbagai jeruk mandarin yang biasanya memiliki kulit oranye dalam dan bubur;secara luas: mandarin,jeruk keprok
pumpkins,"buah, noun",ˈpəm(p)-kən,"Buah dari berbagai kultivar tanaman herba (cucurbita pepo, c. maxima, c. moschata, dan c. mixta sinonim c. argyrosperma) dari keluarga labu yang biasanya bulat dan oranye tetapi mungkin warna atau bentuk lain, itu, itumemiliki kulit yang biasanya halus biasanya dengan alur longitudinal yang dangkal, dan itu ditanam untuk penggunaan hias atau untuk daging pucat berserat yang digunakan terutama dalam kue atau sebagai pakan ternak",labu
peaches,"buah, verb",peach,Untuk menginformasikan menentang: mengkhianati,persik
longan,"buah, noun",ˈlȯŋ-gən,Buah pulpy yang terkait dengan leci dan diproduksi oleh pohon evergreen asia tenggara (euphoria lugan sinonim dimocarpus letah) dari keluarga soapberry,letah
plum,"buah, noun",ˈpləm,Salah satu dari berbagai pohon dan semak (genus prunus) dari keluarga mawar dengan buah-buahan yang dapat dimakan berkulit halus oval hingga oval yang dibebaskan dengan biji-biji lonjong;juga: buahnya,prem
boysenberry,"buah, noun",ˈbȯi-zᵊn-ˌber-ē,Buah hitam kemerahan besar dengan rasa raspberry;juga: bramble hibrida trailing menghasilkan buah ini dan dikembangkan dengan melintasi beberapa blackberry dan raspberry,boysenberry
avocado,"buah, noun",ˌä-və-ˈkä-(ˌ)dō,Buah beraroma kacang hijau berkulit ungu berkulit ungu dari berbagai pohon amerika tropis (genus persea terutama p. americana) dari keluarga laurel;juga: a alpukat bertemu pohon,alpukat
guava,"buah, noun",ˈgwä-və,Salah satu dari beberapa semak tropis amerika atau pohon kecil (genus psidium) dari keluarga myrtle;khususnya: pohon semak (p. guajava) dibudidayakan secara luas karena buahnya yang berkulit kuning dengan daging kuning atau daging merah muda manis,jambu biji
orange,"buah, noun",ˈär-inj,Berry globos dengan kulit oranye kekuningan hingga kemerahan dan bubur yang dapat dimakan manis,oranye
jujube,"buah, noun",ˈjü-ˌjüb,Gumdrop rasa buah atau permen,jujube
apricot,"buah, noun",ˈa-prə-ˌkät,Buah berwarna oval oranye dari pohon zona beriklim (prunus armeniaca) menyerupai persik terkait dan prem dalam rasa,aprikot
peach,"buah, noun",ˈpēch,"Sebuah pohon cina bercabang yang menyebar dengan rendah (prunus persica) dari keluarga mawar yang memiliki daun lanset dan sessile biasanya bunga merah muda dan banyak dibudidayakan di daerah beriklim untuk buah yang dapat dimakan yang merupakan unggulan tunggal dengan batu pusat yang keras, a pulpydaging putih atau kuning, dan kulit berbulu tipis",persik
chico,"buah, geographical name",ˈchē-(ˌ)kō,City north of sacramento di california barat populasi 86.187,chico
elderberry,"buah, noun",ˈel-dər-ˌber-ē,Drupe berry hitam atau merah yang dapat dimakan dari salah satu genus (sambucus) semak atau pohon keluarga honeysuckle yang membawa kelompok datar bunga putih atau merah muda kecil,elderberry
lemon,"buah, noun",ˈle-mən,Buah asam yang secara botani berry pucat kuning pucat yang diproduksi oleh pohon jeruk kecil berduri (limon jeruk) dan yang memiliki kulit dari mana minyak aromatik diekstraksi,lemon
stubborn,"buah, adjective",ˈstə-bərn,Tidak masuk akal atau tidak menyerah: mulitish,keras kepala
jicama,"buah, noun",ˈhē-kə-mə,Akar tuberus bertepung yang dapat dimakan dari pohon anggur amerika tropis (pachyrhizus erosus) dari keluarga legum yang dimakan mentah atau dimasak,jicama
pineapple,"buah, noun",ˈpī-ˌna-pəl,"Tanaman monokotil tropis (ananas comosus dari keluarga bromeliaceae, keluarga nanas) yang memiliki daun berulang berderak kaku dan tangkai pendek dengan kepala bunga padel dari bunga-bunga gagal kecil yang padat dari bunga-bunga gagal kecil yang dibatalkan.",nanas
banana,"buah, noun",bə-ˈna-nə,Buah tropis yang biasanya memanjang dengan daging soft pulpy tertutup dalam kulit lembut biasanya kuning,pisang
jaboticaba,"buah, noun",zhə-ˌbü-ti-ˈkä-bə,Pohon brasil (myrciaria cauliflora) dari keluarga myrtle yang dibudidayakan di daerah yang hangat untuk buahnya yang dapat dimakan biasanya,jaboticaba
